word,frequency,lemmas,seven_k,pos,cefr,ranking,tc
have,19868433,"[""had"",""having"",""of"",""has"",""hadst"",""hadn't"",""haven't"",""haves""]",1,"[""other"",""verb transitive"",""noun"",""prep""]",A1,1,"vt.有,持有,拿,從事(某事) aux.已經"
be,18592825,"[""am"",""are"",""was"",""were"",""being"",""been"",""is"",""isn't"",""bes"",""wert"",""weren't""]",1,"[""verb intransitive"",""other"",""noun"",""verb"",""verb transitive"",""adv"",""past participle""]",A1,2," prep.是,在,存在 [域] Belgium ,比利時 [軍] Base Ejection,彈底噴射 symb [化]鈹 Be(beryllium)"
of,17445805,"[""ofs""]",1,"[""prep"",""noun""]",A1,3," prep....的,由...制成的,離,關於,對於"
in,15320997,"[""ins""]",1,"[""prep"",""adv"",""noun"",""verb transitive"",""other""]",A1,4," prep.在...之內(上),在...期間,從事於,符合,穿著;adv.進入,朝裡,在家,已到達(來臨);adj.在裡面的,執政的;n.執政者,入口;India,印度;In,元素銦(indium);Intelligent Network,智能網絡"
and,13537194,"[""ands""]",1,"[""other""]",A1,5," conj.和,及,並,然後,接著又 /conj.及(或)"
i,8492744,"[""me"",""mine"",""my"",""is""]",1,"[""other"",""noun"",""verb intransitive"",""verb transitive"",""adjective""]",A1,6," pron.我n.字母I,[化]碘元素,羅馬數字1 /n.輸入輸出地址 /n.輸入輸出重定向 /[計]Input/Output,輸入/輸出"
to,6743795,"[""toing"",""tos""]",1,"[""prep""]",A1,7," prep.向,往,給...,於...,直到...為止,在...之前,比,對,[表示程度、範圍] 到,達 [域] Tonga ,湯加"
on,4372806,"[""onest"",""ons""]",1,"[""prep"",""adjective"",""noun"",""other"",""verb transitive""]",A1,8," prep.在...之上,依附於,臨近,靠近,向,在...時候,關於,涉及adv.在上,向前,行動中,作用中"
a,3853779,"[""as""]",1,"[""other"",""prep"",""noun""]",A1,9,"n.(A)As 或 A's  安(ampere);(a) art.一;n.字母A /[軍] Analog.Digital,模擬/數字 /(=account of) 帳上"
for,3734710,"[""forrest"",""fors""]",1,"[""prep"",""other"",""noun""]",A1,10," prep.(表示目的)為了,因為,至於,對於,適合於 conj.因為"
by,3706548,[],1,"[""other"",""adv"",""adjective""]",A1,11," prep.在附近,在旁邊,經,由,依據,按照,通過,用adv.通過,經過,附近 [域] Belarus,白俄羅斯"
with,2615912,"[""withs""]",1,"[""noun"",""prep""]",A1,12," prep.有,以,用,同...,由於,和...一致,贊成,關於,就"
at,2608316,"[""ats""]",1,"[""prep"",""other"",""noun""]",A1,13," prep.在,於,向,對准,在...方面;Austria,奧地利"
from,2525470,"[""froms""]",1,"[""prep""]",A1,14," prep.從,今後,來自,由於"
that,1580925,"[""thats""]",1,"[""other""]",A1,15,"adj.那,那個 pron.那,那個 conj.引導從句"
also,1302312,[],1,"[""other""]",A1,16,"adv.也,同樣"
which,1220752,[],1,"[""adjective"",""other""]",A1,17," pron.哪個,哪幾個,...的,...那個adj.哪個"
state,1220703,"[""stated"",""stating"",""states""]",1,"[""noun"",""adjective"",""verb transitive"",""other"",""superlative"",""adv""]",A1,18,"n.情形,狀態,國家,政府,州adj.國家的,國有的,國營的,州的,正式的,典禮用的vt.聲明,陳述,規定"
bear,1210772,"[""bore"",""bearing"",""born"",""borne"",""bears""]",1,"[""verb transitive"",""verb intransitive"",""noun"",""other"",""past participle""]",A1,19,"n.熊v.負擔,忍受,帶給,具有,擠,向"
or,1124209,"[""ors""]",1,"[""other"",""noun""]",A1,20," conj.或,或者,還是 [軍] Operational Requirement,作戰需求 [軍] Operations Research,運籌學研究"
fire,1110237,"[""fired"",""firing"",""fires""]",1,"[""noun"",""verb transitive"",""verb intransitive"",""other"",""adjective"",""adv""]",A1,21,"n.火,爐火,火災,失火,閃光,炮火,熱情,激情vt.點燃,燒制,使發光,給(爐子等)加燃料,放槍,激動,<口>解雇vi.開槍,射擊,著火,燒火,激動"
play,1087944,"[""played"",""playing"",""plays""]",1,"[""noun"",""verb transitive"",""other""]",A1,22,"n.游戲,比賽,運動,賭博,劇本v.玩,扮演,播放,進行比賽v.播放"
first,1034316,"[""firsts""]",1,"[""adjective"",""adv"",""noun""]",A1,23,"adv.首先,最初,第一(列舉條目等用),優先adj.第一的 num.第一(個)n.開始,第一,(比賽)冠軍"
being,1020015,"[""beings""]",1,"[""other"",""noun"",""adv"",""verb intransitive""]",A1,24,"n.存在,生命,人,本質 art.在,有,是"
new,993225,"[""newer"",""newest"",""news""]",1,"[""superlative"",""adv"",""other"",""noun""]",A1,25,"adj.新的,初見的,更新的adv.新近"
this,905718,"[""thises""]",1,"[""other""]",A1,26,"adj.這,這個,今,本 pron.這,這個"
know,793826,"[""knew"",""knowing"",""known"",""knows""]",1,"[""noun"",""verb intransitive"",""other"",""adjective"",""past participle"",""verb transitive""]",A1,27,"v.知道,了解,認識,熟悉,認出,分辨,確信"
name,760448,"[""named"",""naming"",""names""]",1,"[""noun"",""other"",""adv""]",A1,28,"n.名字,名稱,姓名,名譽vt.命名,提名,叫出,指定adj.姓名的,據以取名的"
year,709739,"[""years""]",1,"[""noun""]",A1,29,"n.年,年齡,年歲"
after,694687,[],1,"[""adjective"",""prep"",""adv""]",A1,30,"adv.prep.conj.在...之後,在...後面,模仿,與...一致,以...命名,後來的,後面的"
school,662645,"[""schooled"",""schooling"",""schools""]",1,"[""noun"",""verb transitive"",""other"",""adjective""]",A1,31,"n.學校,學院,學習,授課,求學,全體學生,學派vt.鍛煉,教育"
use,662005,"[""used"",""using"",""uses""]",1,"[""verb transitive"",""verb intransitive"",""other""]",A1,32,"vt.使用,利用,耗費n.使用,利用,用途,效用,使用價值"
found,632126,"[""founded"",""founding"",""founds""]",1,"[""other"",""verb transitive"",""noun"",""verb intransitive""]",A1,33,"v.建立,創立,創辦,使有根據,鑄造,熔制"
world,601245,"[""worlds""]",1,"[""noun""]",A1,34,"n.世界,...界,世事,世故,社會adj.世界的"
other,588866,"[""others""]",1,"[""other"",""adv"",""noun""]",A1,35,"adj.其他的,另外的,從前的 pron.其他的,他人,另外一個adv.另外地,不同地"
work,584821,"[""worked"",""working"",""wrought"",""works""]",1,"[""noun"",""verb transitive"",""other"",""adjective""]",A1,36,"n.工作,勞動,操作,職業,[物]功,手工,作品,機件v.(使)工作,(使)運轉,起作用,造成,產生,經營,(使)漸漸移動,煆制"
may,581325,"[""mays"",""mayest"",""mayn't""]",1,"[""verb"",""noun""]",A1,37," aux.可能,也許,可以,祝,願n.(May) 五月,能,可能"
city,578698,"[""cities""]",1,"[""noun"",""adjective"",""noun (plural)""]",A1,38,"n.城市,都市,全體居民,城邦"
family,574318,"[""families""]",1,"[""verb transitive"",""noun (plural)""]",A1,39,"n.家庭,家族,家屬,親屬,子女,僚屬adj.家庭的,家族的"
center,569919,"[""centered"",""centering"",""centers""]",1,"[""noun"",""verb intransitive"",""verb transitive"",""other"",""adjective"",""adv""]",A1,40,"n.中心,中央,中心點,中鋒adj.中央的,位於正中的vt.集中,使聚集在一點,定中心,居中vi.居中,有中心,被置於中心"
but,566111,"[""butted""]",1,"[""other"",""noun"",""verb intransitive"",""verb transitive""]",A1,41," prep.除...以外 conj.而是,但是adv.幾乎,僅僅"
south,554605,"[""souths""]",1,"[""noun"",""adjective"",""adv"",""verb intransitive""]",A1,42,"n.南部,南adj.南的,南方的adv.在南方,向南方"
during,548152,"[""durings""]",1,"[""prep""]",A1,43," prep.在...的期間,在...的時候"
time,527228,"[""timed"",""timing"",""times""]",1,"[""noun"",""verb transitive"",""verb intransitive"",""other"",""noun (plural)"",""superlative"",""adv""]",A1,44,"n.時間,時侯,時機,節拍,期限,次數,時期,比賽限時vt.安排...的時間,記錄...的時間,計時,定時vi.打拍子,(...)合拍adj.時間的,記時的,定時的,定期的,分期的 /n.時間/日期"
