key,zh-Hant,en
common.back,返回,Back
common.close,關閉,Close
common.cancel,取消,Cancel
common.save,儲存,Save
common.settings,設定,Settings
shelf.title,書櫃,Bookshelf
shelf.archived,封存,Archived
shelf.view,檢視,View
shelf.sort,排序,Sort
shelf.list,列表,List
shelf.grid,網格,Grid
shelf.sort_recent,最近閱讀,Recent
shelf.sort_title,書名,Title
shelf.sort_progress,進度,Progress
shelf.sort_modified,修改日期,Modified
shelf.unread,尚未閱讀,Not opened
shelf.archive,封存,Archive
shelf.unarchive,取消封存,Unarchive
shelf.hide,隱藏,Hide
shelf.progress,進度,Progress
shelf.progress_value,進度 {label},Progress {label}
shelf.dir_missing,這個目錄不存在：{path},This folder does not exist: {path}
shelf.dir_unreadable,這個目錄讀不到：{path},This folder cannot be read: {path}
shelf.empty_no_dir,還沒有目錄。請按右上角的設定圖示加入書的目錄。,No folders yet. Use the settings icon at the top right to add one.
shelf.empty_missing_one,這個目錄不存在。,This folder does not exist.
shelf.empty_missing_many,這些目錄都不存在。,None of these folders exist.
shelf.empty_unreadable_one,這個目錄讀不到。,This folder cannot be read.
shelf.empty_unreadable_many,這些目錄都讀不到。,None of these folders can be read.
shelf.empty_one,這個目錄是空的。,This folder is empty.
shelf.empty_many,這些目錄裡沒有書。,There are no books in these folders.
shelf.search,搜尋書櫃,Search the bookshelf
shelf.search_hint,書名,Title
shelf.search_none,找不到「{query}」。,"Nothing matches ""{query}""."
shelf.empty_filtered,"書都已封存或隱藏。可以顯示封存，或到設定恢復隱藏的書。","Every book is archived or hidden. Show archived books, or restore hidden ones in Settings."
settings.title,設定,Settings
settings.folders,書的目錄,Book folders
settings.no_folders,還沒有目錄。,No folders yet.
settings.remove,移除,Remove
settings.add_folder,加入目錄,Add folder
settings.theme,主題,Theme
settings.theme_help,"白和黑是完全黑白，預設是白。淺色和深色略有顏色。","White and black are pure black and white. White is the default. Light and dark have a little color."
settings.theme_white,白,White
settings.theme_black,黑,Black
settings.theme_light,淺色,Light
settings.theme_dark,深色,Dark
settings.language,介面語言,Language
settings.hidden,已隱藏,Hidden
settings.none_hidden,沒有隱藏的書。,No hidden books.
settings.restore,恢復,Restore
settings.hidden_count,{n} 本,{n} books
